Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_frequently,BusinessTravel_Travel_rarely,Department_Research & development,EducationField_Life sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical degree,Gender_Male,JobRole_Human resources,JobRole_Laboratory technician,JobRole_Manager,JobRole_Manufacturing director,JobRole_Research director,JobRole_Research scientist,JobRole_Sales representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
22.0,1123,16.0,2,1,22,4,96,4,1,4,2935.0,7324,1,13,3,2,80,2,1,2,2,1.0,0.0,0.0,0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
53.0,1219,2.0,4,1,23,1,78,2,4,4,15427.0,22021,2,16,3,3,80,0,31,3,3,18.0,8.0,3.0,7,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
38.0,371,2.0,3,1,24,4,45,3,1,4,3944.0,4306,5,11,3,3,80,0,6,3,3,3.0,2.0,1.0,2,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
24.0,673,11.0,2,1,26,1,96,4,2,3,4011.0,8232,0,18,3,4,80,1,5,5,2,4.0,2.0,1.0,3,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
36.0,1218,9.0,4,1,27,3,82,2,1,1,3407.0,6986,7,23,4,2,80,0,10,4,3,5.0,3.0,0.0,3,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
34.0,419,7.0,4,1,28,1,53,3,3,2,11994.0,21293,0,11,3,3,80,0,13,4,3,12.0,6.0,2.0,11,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
21.0,391,15.0,2,1,30,3,96,3,1,4,1232.0,19281,1,14,3,4,80,0,0,6,3,0.0,0.0,0.0,0,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
34.0,699,6.0,1,1,31,2,83,3,1,1,2960.0,17102,2,11,3,3,80,0,8,2,3,4.0,2.0,1.0,3,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
53.0,1282,5.0,3,1,32,3,58,3,5,3,16581.0,10735,4,11,3,4,80,1,26,3,2,14.0,13.0,4.0,8,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
32.0,1125,16.0,1,1,33,2,72,1,1,1,3919.0,4681,1,22,4,2,80,0,10,5,3,10.0,2.0,6.0,7,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
42.0,691,8.0,4,1,35,3,48,3,2,2,6825.0,21173,0,11,3,4,80,1,10,2,3,9.0,7.0,4.0,2,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
44.0,477,7.0,4,1,36,1,42,2,3,4,10248.0,2094,3,14,3,4,80,1,24,4,3,18.0,6.0,5.0,17,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
46.0,705,2.0,4,1,38,2,83,3,5,1,16581.0,22822,3,12,3,4,80,0,22,2,2,2.0,2.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
33.0,924,2.0,3,1,39,3,78,3,1,4,2496.0,6670,4,11,3,4,80,0,7,3,3,1.0,1.0,0.0,0,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
44.0,1459,10.0,4,1,40,4,41,3,2,4,6465.0,19121,2,13,3,4,80,0,9,5,4,4.0,2.0,1.0,3,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True
30.0,125,9.0,2,1,41,4,83,2,1,3,2206.0,16117,1,13,3,1,80,0,10,5,3,10.0,0.0,1.0,8,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
39.0,895,5.0,3,1,42,4,56,3,2,4,2086.0,3335,3,14,3,3,80,1,19,6,4,1.0,0.0,0.0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False
24.0,813,1.0,3,1,45,2,61,3,1,4,2293.0,3020,2,16,3,1,80,1,6,2,2,2.0,0.0,2.0,0,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True
43.0,1273,2.0,2,1,46,4,72,4,1,3,2645.0,21923,1,12,3,4,80,2,6,3,2,5.0,3.0,1.0,4,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
50.0,869,3.0,2,1,47,1,86,2,1,3,2683.0,3810,1,14,3,3,80,0,3,2,3,3.0,2.0,0.0,2,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True
35.0,890,2.0,3,1,49,4,97,3,1,4,2014.0,9687,1,13,3,1,80,0,2,3,3,2.0,2.0,2.0,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
36.0,852,5.0,4,1,51,2,82,2,1,1,3419.0,13072,9,14,3,4,80,1,6,3,4,1.0,1.0,0.0,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
33.0,1141,1.0,3,1,52,3,42,4,2,1,5376.0,3193,2,19,3,1,80,2,10,3,3,5.0,3.0,1.0,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35.0,464,4.0,2,1,53,3,75,3,1,4,1951.0,10910,1,12,3,3,80,1,1,3,3,1.0,0.0,0.0,0,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
27.0,1240,2.0,4,1,54,4,33,3,1,1,2341.0,19715,1,13,3,4,80,1,1,6,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26.0,1357,25.0,3,1,55,1,48,1,1,3,2293.0,10558,1,12,3,3,80,0,1,2,2,1.0,0.0,0.0,1,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
27.0,994,8.0,3,1,56,4,37,3,3,3,8726.0,2975,1,15,3,4,80,0,9,0,3,9.0,8.0,1.0,7,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
30.0,721,1.0,2,1,57,3,58,3,2,4,4011.0,10781,1,23,4,4,80,0,12,2,3,12.0,8.0,3.0,7,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
41.0,1360,12.0,3,1,58,2,49,3,5,3,16581.0,16280,1,12,3,4,80,0,23,0,3,18.0,14.5,7.5,8,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
34.0,1065,23.0,4,1,60,2,72,3,2,3,4568.0,10034,0,20,4,3,80,0,10,2,3,9.0,5.0,7.5,7,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
37.0,408,19.0,2,1,61,2,73,3,1,2,3022.0,10227,4,21,4,1,80,0,8,1,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
46.0,1211,5.0,4,1,62,1,98,3,2,4,5772.0,20445,4,21,4,3,80,0,14,4,3,9.0,6.0,0.0,8,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True
35.0,1229,8.0,1,1,63,4,36,4,1,4,2269.0,4892,1,19,3,4,80,0,1,2,3,1.0,0.0,0.0,1,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
48.0,626,1.0,2,1,64,1,98,2,3,3,5381.0,19294,9,13,3,4,80,0,23,2,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
28.0,1434,5.0,4,1,65,3,50,3,1,3,3441.0,11179,1,13,3,3,80,0,2,3,2,2.0,2.0,2.0,2,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True
44.0,1488,1.0,5,1,68,2,75,3,2,1,5454.0,4009,5,21,4,3,80,1,9,2,2,4.0,3.0,1.0,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
35.0,1097,11.0,2,1,70,3,79,2,3,1,9884.0,8302,2,13,3,3,80,1,10,3,3,4.0,0.0,2.0,3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
26.0,1443,23.0,3,1,72,3,47,2,2,4,4157.0,21436,7,19,3,3,80,1,5,2,2,2.0,2.0,0.0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
33.0,515,1.0,2,1,73,1,98,3,3,4,13458.0,15146,1,12,3,3,80,0,15,1,3,15.0,14.0,7.5,12,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
35.0,853,18.0,5,1,74,2,71,3,3,1,9069.0,11031,1,22,4,4,80,1,9,3,2,9.0,8.0,1.0,8,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
35.0,1142,23.0,4,1,75,3,30,3,1,1,4014.0,16002,3,15,3,3,80,1,4,3,3,2.0,2.0,2.0,2,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
31.0,655,7.0,4,1,76,4,48,3,2,4,5915.0,9528,3,22,4,4,80,1,10,3,2,7.0,7.0,1.0,7,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
37.0,1115,1.0,4,1,77,1,51,2,2,3,5993.0,2689,1,18,3,3,80,1,7,2,4,7.0,5.0,0.0,7,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
32.0,427,1.0,3,1,78,1,33,3,2,4,6162.0,10877,1,22,4,2,80,1,9,3,3,9.0,8.0,7.0,8,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
38.0,653,29.0,5,1,79,4,50,3,2,4,2406.0,5456,1,11,3,4,80,0,10,2,3,10.0,3.0,7.5,9,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
50.0,989,7.0,2,1,80,2,43,2,5,3,16581.0,16701,5,12,3,4,80,1,29,2,2,18.0,3.0,7.5,8,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
59.0,1435,25.0,3,1,81,1,99,3,3,1,7637.0,2354,7,11,3,4,80,0,28,3,2,18.0,14.5,7.0,9,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
36.0,1223,8.0,3,1,83,3,59,3,3,3,10096.0,8202,1,13,3,2,80,3,17,2,3,17.0,14.0,7.5,8,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
55.0,836,8.0,3,1,84,4,33,3,4,3,14756.0,19730,2,14,3,3,80,3,21,2,3,5.0,0.0,0.0,2,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
36.0,1195,11.0,3,1,85,2,95,2,2,2,6499.0,22656,1,13,3,3,80,0,6,3,3,6.0,5.0,0.0,3,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
45.0,1339,7.0,3,1,86,2,59,3,3,1,9724.0,18787,2,17,3,3,80,1,25,2,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
35.0,664,1.0,3,1,88,2,79,3,1,1,2194.0,5868,4,13,3,4,80,1,5,2,2,3.0,2.0,1.0,2,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
36.0,318,9.0,3,1,90,4,79,2,1,3,3388.0,21777,0,17,3,1,80,1,2,0,2,1.0,0.0,0.0,0,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True
59.0,1225,1.0,1,1,91,1,57,2,2,3,5473.0,24668,7,11,3,4,80,0,20,2,2,4.0,3.0,1.0,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
29.0,1328,2.0,3,1,94,3,76,3,1,2,2703.0,4956,0,23,4,4,80,1,6,3,3,5.0,4.0,0.0,4,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
31.0,1082,1.0,4,1,95,3,87,3,1,2,2501.0,18775,1,17,3,2,80,0,1,4,3,1.0,1.0,1.0,0,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
32.0,548,1.0,3,1,96,2,66,3,2,2,6220.0,7346,1,17,3,2,80,2,10,3,3,10.0,4.0,0.0,9,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
36.0,132,6.0,3,1,97,2,55,4,1,4,3038.0,22002,3,12,3,2,80,0,5,3,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
31.0,746,8.0,4,1,98,3,61,3,2,4,4424.0,20682,1,23,4,4,80,0,11,2,3,11.0,7.0,1.0,8,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
35.0,776,1.0,4,1,100,3,32,2,2,1,4312.0,23016,0,14,3,2,80,0,16,2,3,15.0,13.0,2.0,8,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
45.0,193,6.0,4,1,101,4,52,3,3,1,13245.0,15067,4,14,3,2,80,0,17,3,4,0.0,0.0,0.0,0,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True
37.0,397,7.0,4,1,102,1,30,3,3,3,13664.0,25258,4,13,3,1,80,0,16,3,4,5.0,2.0,0.0,2,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
46.0,945,5.0,2,1,103,2,80,3,2,2,5021.0,10425,8,22,4,4,80,1,16,2,3,4.0,2.0,0.0,2,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True
30.0,852,1.0,1,1,104,4,55,2,2,4,5126.0,15998,1,12,3,3,80,2,10,1,2,10.0,8.0,3.0,0,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
35.0,1214,1.0,3,1,105,2,30,2,1,3,2859.0,26278,1,18,3,1,80,0,6,3,3,6.0,4.0,0.0,4,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
55.0,111,1.0,2,1,106,1,70,3,3,4,10239.0,18092,3,14,3,4,80,1,24,4,3,1.0,0.0,1.0,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
38.0,573,6.0,3,1,107,2,79,1,2,4,5329.0,15717,7,12,3,4,80,3,17,3,3,13.0,11.0,1.0,9,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
34.0,1153,1.0,2,1,110,1,94,3,2,2,4325.0,17736,1,15,3,3,80,0,5,2,3,5.0,2.0,1.0,3,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
56.0,1400,7.0,3,1,112,4,49,1,3,4,7260.0,21698,4,11,3,1,80,0,37,3,2,6.0,4.0,0.0,2,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
23.0,541,2.0,1,1,113,3,62,3,1,1,2322.0,9518,3,13,3,3,80,1,3,3,3,0.0,0.0,0.0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
51.0,432,9.0,4,1,116,4,96,3,1,4,2075.0,18725,3,23,4,2,80,2,10,4,3,4.0,2.0,0.0,3,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
30.0,288,2.0,3,1,117,3,99,2,2,4,4152.0,15830,1,19,3,1,80,3,11,3,3,11.0,10.0,7.5,8,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
46.0,669,9.0,2,1,118,3,64,2,3,4,9619.0,13596,1,16,3,4,80,0,9,3,3,9.0,8.0,4.0,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
40.0,530,1.0,4,1,119,3,78,2,4,2,13503.0,14115,1,22,4,4,80,1,22,3,2,18.0,3.0,7.5,11,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
51.0,632,21.0,4,1,120,3,71,3,2,4,5441.0,8423,0,22,4,4,80,0,11,2,1,10.0,7.0,1.0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True
30.0,1334,4.0,2,1,121,3,63,2,2,2,5209.0,19760,1,12,3,2,80,3,11,4,2,11.0,8.0,2.0,7,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
46.0,638,1.0,3,1,124,3,40,2,3,1,10673.0,3142,2,13,3,3,80,1,21,5,2,10.0,9.0,7.5,5,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
32.0,1093,6.0,4,1,125,2,87,3,2,3,5010.0,24301,1,16,3,1,80,0,12,0,3,11.0,8.0,5.0,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
54.0,1217,2.0,4,1,126,1,60,3,3,3,13549.0,24001,9,12,3,1,80,1,16,5,1,4.0,3.0,0.0,3,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
24.0,1353,3.0,2,1,128,1,33,3,2,3,4999.0,17519,0,21,4,1,80,1,4,2,2,3.0,2.0,0.0,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
28.0,120,4.0,3,1,129,2,43,3,2,3,4221.0,8863,1,15,3,2,80,0,5,3,4,5.0,4.0,0.0,4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
58.0,682,10.0,4,1,131,4,37,3,4,3,13872.0,24409,0,13,3,3,80,0,38,1,2,18.0,10.0,1.0,8,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
44.0,489,23.0,3,1,132,2,67,3,2,2,2042.0,25043,4,12,3,3,80,1,17,3,4,3.0,2.0,1.0,2,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
37.0,807,6.0,4,1,133,3,63,3,1,1,2073.0,23648,4,22,4,4,80,0,7,3,3,3.0,2.0,0.0,2,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
32.0,827,1.0,1,1,134,4,71,3,1,1,2956.0,15178,1,13,3,4,80,0,1,2,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
20.0,871,6.0,3,1,137,4,66,2,1,4,2926.0,19783,1,18,3,2,80,0,1,5,3,1.0,0.0,1.0,0,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
34.0,665,6.0,4,1,138,1,41,3,2,3,4809.0,12482,1,14,3,3,80,0,16,3,3,16.0,13.0,2.0,10,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
37.0,1040,2.0,2,1,139,3,100,2,2,4,5163.0,15850,5,14,3,4,80,1,17,2,4,1.0,0.0,0.0,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
59.0,1420,2.0,4,1,140,3,32,2,5,4,16581.0,21922,9,21,4,4,80,1,30,3,3,3.0,2.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
50.0,1115,1.0,3,1,141,1,73,3,5,2,16581.0,9755,3,19,3,1,80,0,28,1,2,8.0,3.0,0.0,7,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
25.0,240,5.0,3,1,142,3,46,2,2,3,5744.0,26959,1,11,3,4,80,0,6,1,3,6.0,4.0,0.0,3,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True
25.0,1280,7.0,1,1,143,4,64,2,1,4,2889.0,26897,1,11,3,3,80,2,2,2,3,2.0,2.0,2.0,1,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
22.0,534,15.0,3,1,144,2,59,3,1,4,2871.0,23785,1,15,3,3,80,0,1,5,3,0.0,0.0,0.0,0,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
51.0,1456,1.0,4,1,145,1,30,2,3,1,7484.0,25796,3,20,4,3,80,0,23,1,2,13.0,12.0,7.5,8,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
34.0,658,7.0,3,1,147,1,66,1,2,3,6074.0,22887,1,24,4,4,80,0,9,3,3,9.0,7.0,0.0,6,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
54.0,142,26.0,3,1,148,4,30,4,4,4,16581.0,13871,2,12,3,3,80,0,23,3,3,5.0,3.0,4.0,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
24.0,1127,18.0,1,1,150,2,52,3,1,3,2774.0,13257,0,12,3,3,80,1,6,2,3,5.0,3.0,1.0,2,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
34.0,1031,6.0,4,1,151,3,45,2,2,2,4505.0,15000,6,15,3,3,80,1,12,3,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37.0,1189,3.0,3,1,152,3,87,3,3,4,7428.0,14506,2,12,3,1,80,0,12,3,3,5.0,3.0,1.0,3,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
34.0,1354,5.0,3,1,153,3,45,2,3,1,11631.0,5615,2,12,3,4,80,0,14,6,3,11.0,10.0,5.0,8,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
36.0,1467,11.0,2,1,154,2,92,3,3,4,9738.0,22952,0,14,3,3,80,1,10,6,3,9.0,7.0,2.0,8,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
36.0,922,3.0,2,1,155,1,39,3,1,4,2835.0,2561,5,22,4,1,80,1,7,2,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
43.0,394,26.0,2,1,158,3,92,3,4,4,16581.0,19494,1,12,3,4,80,2,25,3,4,18.0,12.0,4.0,12,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
30.0,1312,23.0,3,1,159,1,96,1,1,3,2613.0,22310,1,25,4,3,80,3,10,2,2,10.0,7.0,0.0,9,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
33.0,750,22.0,2,1,160,3,95,3,2,2,6146.0,15480,0,13,3,1,80,1,8,2,4,7.0,7.0,0.0,7,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
56.0,441,14.0,4,1,161,2,72,3,1,2,4963.0,4510,9,18,3,1,80,3,7,2,3,5.0,4.0,4.0,3,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
51.0,684,6.0,3,1,162,1,51,3,5,3,16581.0,6462,7,13,3,3,80,0,23,5,3,18.0,14.5,7.5,15,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
31.0,249,6.0,4,1,163,2,76,1,2,3,6172.0,20739,4,18,3,2,80,0,12,3,2,7.0,7.0,7.0,7,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
